,ticker,date,time,title,compound
102,GOOGL,May-15-23,05:37PM,"Stocks moving in after-hours: Berkshire Hathaway, Capital One, Beam, Tesla",0.0
103,GOOGL,May-15-23,04:48PM,Amazon Wants to Train Its Customers to Do Something Different,0.1779
104,GOOGL,May-15-23,03:59PM,OpenAI CEO Sam Altman set to testify before Congress Tuesday,0.0
105,GOOGL,May-15-23,01:18PM,Amazon Plans to Add ChatGPT-Style Search to Its Online Store,0.1779
106,GOOGL,May-15-23,12:35PM,5 Great College Graduation Gifts to Buy on Amazon,0.7003
107,GOOGL,May-15-23,12:23PM,Amazon Move Hints at a Major Delivery Change,0.1779
108,GOOGL,May-15-23,11:37AM,20 Most Successful Shark Tank Products Ever In 2023,0.624
109,GOOGL,May-15-23,11:35AM,Amazon Games and Embracer Groups Middle-earth Enterprises Strike Deal for New The Lord of the Rings Game,0.0516
110,GOOGL,May-15-23,11:31AM,"Here's What Investors Need to Know About Inflation, and 2 Stocks to Buy Now",0.0
111,GOOGL,May-15-23,11:25AM,Amazon May Want to Change Delivery Expectations (You Won't Like It),-0.0284
112,GOOGL,May-15-23,10:00AM,2 Top Growth Stocks to Buy Before They Skyrocket,0.5267
113,GOOGL,May-15-23,09:56AM,"Stock markets, sectors open higher this morning",0.0
114,GOOGL,May-15-23,09:45AM,Is MercadoLibre Stock a Buy Now?,0.0
115,GOOGL,May-15-23,09:05AM,Is DigitalOcean the Best Cloud Stock to Buy for 2023?,0.6369
116,GOOGL,May-15-23,08:30AM,What Happens When You Make Too Many Amazon Returns?,0.1779
117,GOOGL,May-15-23,08:20AM,"Walmart, Target and Amazon are part of Zacks Earnings Preview",0.1779
118,GOOGL,May-15-23,06:30AM,AI Spending Will Cloud Chip Slowdown,0.0
119,GOOGL,May-15-23,06:15AM,The Fed Expects a Recession. Should You Change Your Investing Strategy?,-0.4215
120,GOOGL,May-15-23,05:30AM,Inside the Writers Strike: Negotiators Explain Where Talks Broke Down,-0.5106
121,GOOGL,May-15-23,04:36AM,What Makes Amazon.com (AMZN) an Attractive Investment?,0.4404
122,GOOGL,May-14-23,11:11PM,20 Most Profitable Products to Sell Online in 2023,0.4927
123,GOOGL,May-14-23,07:30PM,"Seas Path to Profit Paved With Layoffs, Single-Ply Toilet Paper",0.4404
124,GOOGL,May-14-23,07:15PM,Billionaire Ken Fishers Top 10 Stock Picks,0.2023
125,GOOGL,May-14-23,09:30AM,4 Surprising Things About Costco's Kirkland Products,0.2732
126,GOOGL,May-14-23,08:00AM,Whole Foods vs. Trader Joes  Which Store Is Better for Your Money?,0.4404
127,GOOGL,May-14-23,07:00AM,3 Mom Tricks I Use to Save Money While Raising Kids,0.4019
128,GOOGL,May-14-23,06:45AM,2 E-Commerce Stocks You Can Buy and Hold for the Next Decade,0.0
129,GOOGL,May-14-23,02:18AM,Amazon to increase delivery speed while cutting costs,0.3612
130,GOOGL,May-13-23,01:20PM,"Amazon optimizes delivery network for speedier delivery, lower costs",0.3182
131,GOOGL,May-13-23,10:57AM,"Amazon optimizes delivery network for speedier delivery, lower costs",0.3182
132,GOOGL,May-13-23,10:29AM,"Amazon overhauls delivery network, seeking faster delivery, profits -WSJ",0.5574
133,GOOGL,May-13-23,09:30AM,"Got $1,000? Here Are 3 Remarkable Stocks to Buy.",0.5574
134,GOOGL,May-13-23,09:00AM,4 Reasons You Should Cancel Amazon Prime,-0.0772
135,GOOGL,May-13-23,09:00AM,"Amazon Overhauls Delivery Network to Dispatch Packages Faster, More Cheaply",0.1779
136,GOOGL,May-13-23,05:30AM,"Where to Invest $10,000 in a Bear Market",0.0
